Designator,Footprint,Quantity,Value,LCSC Part #
C2,C_0603_,1,100nF,C30926
C3,C_0805_,1,2.2uF,C19110
C4,C_0805_,1,10uF,C17024
C5,C_0603,1,100nF,
D4,D_1206_,1,Schottky,C143805
"H1, H2, H3, H4",MountingHole_4mm,4,MountingHole,
J1,PinHeader_1x05_P2.54mm_Vertical_SMD_Pin1Right,1,Shelly 1,C225491
J2,PinHeader_1x07_P1.27mm_Vertical,1,Conn_01x07,C2832274
J3,USC16-TR,1,USB-C,C709357
L1,L_4x4_,1,6.8uH,C354575
"R1, R2",R_0603,2,5K1,
R6,R_0603,1,100k 1%,C14675
R7,R_0603,1,30k 1%,C100001
U2,SOT-23-Thin-6-Reg,1,LMR16006XDDCR,C87080
